KEY,English,Russian
no, "no", "нет"
buy, "buy", "купить"
sec, "sec", "сек"

//tutoralAll, "Deliver berry to Spider", "Доставьте ягоду к Паучку"
tutorialWeb1, "Deliver berry to Spider \nTap on the cobweb to reach the berry", "Доставьте ягоду к Паучку \nНажмите на паутинку чтоб достать до ягоды"
tutorialWeb2, "Tap on the cobweb again to let go", "Нажмите на паутинку еще раз, чтобы отпустить"
tutorialSluggish, "Pull the Sluggish, rotate and release to shoot", "Потяните за лизуна, поверните и отпустите, чтобы выстрелить"
tutorialDestroyer, "Tap on the Destroyer, rotate and release in the right direction \n\nHe cuts the lower part of the terrain", "Нажмите на разрушителя, поверните в нужном направлении и отпустите \n\nОн отрезает меньшую часть острова"
tutorialCloud1, "Tap on the cloud, that it disappeared", "Нажмите на облако, чтобы оно изчезло"
tutorialCloud2, "Tap again to show", "Нажмите еще раз, чтобы появилось"
tutorialYeti1, "Tap on the Yeti to stop time", "Нажмите на Йети, чтобы остановить время"
tutorialYeti2, "Tap again to continue", "Нажмите еще раз, чтобы продолжить"
tutorialCactus, "Keep the berry away from cactus!", "Остерегайтесь кактусов - они опасны для ягод!"
tutorialGroot1, "Tap on Flo, rotate to the terrain and release", "Нажмите на Фло, поверните в направлении острова и отпустите"
tutorialGroot2, "Tap again to remove", "Нажмите еще раз, чтобы убрать"
tutorialHint, "The bird can help you with challenging levels!", "Птица поможет пройти сложные уровни!"
tutorialBonus, "Try to take advantage of bonuses!", "Попробуй воспользоваться бонусами!"
tutorialBuy, "The game can be simplified!", "Игру можно и упростить!"
tutorialDream, "Good sleep never hurt!", "Хороший сон никогда не повредит!"
tutorialAdCoins, "Get free coins in seconds!", "Получай бесплатные монеты всего за несколько секунд!"
tutorialFreeCoins, "Get free coins!", "Получи бесплатные монеты!"
tutorialSale, "For you have a special offer!", "Для вас есть особое предложение!"

bonusWeb, "Choose a location for the placement of additional webs", "Выберите место для размещения дополнительной паутинки"
bonusTeleport, "Choose a location to teleport spider", "Выберите место для телепортации паучка"
bonusWand, "Choose any star to collect it", "Выберите любую звезду чтобы собрать ее"


sluggish, "Sluggish", "Лизун"
destroyer, "Destroyer", "Разрушитель"
yeti, "Yeti", "Йети"
flo, "Flo", "Фло"
dream, "Dreaming", "Вещий сон"
dreamMenu1, "View ads to get a video hint 'Dreaming' for this level\n\n 'Dreaming' is saved for each level", "Посмотреть рекламу, чтобы получить видео подсказку 'Вещий сон' для этого уровня\n\n 'Вещий сон' сохраняется для каждого уровня"
disableLevelMenu1, "Closed level", "Закрытый уровень"
disableLevelMenu2, "To open this level,\n feed the Spider in the previous", "Чтобы открыть этот уровень,\n накорми Паучка в предыдущем"
settings, "Settings", "Настройки"
loading, "Loading...", "Загрузка..."

sound, "Sound", "Звук"
music, "Music", "Музыка"
sale, "Special offer", "Акция"


exitGame, "Are you sure you want to quit?", "Вы уверены, что хотите выйти?"

optionsProgressReset, "Reset progress", "Сброс прогресса"
optionsProgressResetDesc1, "Are you sure you want to reset your progress?", "Уверены, что хотите сбросить игровой прогресс?"

optionsProgressResetDesc2, "Hold 'yes' button for 3 seconds to reset.", "Удерживайте 'да' в течении 3 секунд для сброса прогресса."

everyplayShare, "Share", "Поделись"
everyplayWatchReplays, "Watch replays!", "Посмотри реплей!"

adDoubleReward, "Double reward!", "Двойная награда!"

handOnGem, "Try to complete the challenge!", "Попробуй пройти испытание!"

fbConnect, "Connect", "Подключиться"
fbInvite, "Invite", "Пригласить"
fbBestGamers, "Best gamers", "Лучшие игроки"
socialJoinGroup, "Join the group", "Присоединиться к группе"
socialJoinGroup2, "Join the group\nFeed the Spider", "Присоединиться к группе\nFeed the Spider"
socialJoinGroup3, "Join the group VK Games", "Присоединиться к группе VK Games"
socialJoinGroup4, "Join the group VK Games?", "Присоединиться к группе VK Games?"
socialLogout, "Logout", "Выйти"
invited, "Invited", "Приглашен"


sale0Free, "Beginner pack!", "Пакет новичка!"
sale1Free, "Luck for spider!", "Удача паука!"
sale2Free, "Unprecedented generosity!", "Небывалая щедрость!"
sale3Free, "Heaven's Blessing!", "Благословение небес!"
sale0Payers, "Successful deal!", "Удачная сделка!"
sale1Payers, "Impressive sale!", "Внушительная распродажа!"
sale2Payers, "Super offer!", "Супер предложение!"

saleFreeDesc, "Contains: \n 3 green boosters \n 1 blue booster \n 1 purple booster", "Содержит:\n 3 зеленых бустера\n 1 синиий бустер\n 1 фиолетовый бустер"
sale0PayersDesc, "30% discount", "30% скидка"
sale1PayersDesc, "50% discount", "50% скидка"
sale2PayersDesc, "70% discount", "70% скидка"

rateUs0, "Liked the game?", "Понравилась игра?"
rateUs, "Rate us!", "Оцените нас!"
rateUs2, "Rate", "Оценить"
rateUs3, "Remind me later", "Напомнить позже"

adTiredMenu, "Are you tired of ads?", "Надоела реклама?"
adTiredMenu2, "Make any purchase and play without advertising!", "Соверши любую покупку и играй без рекламы!"

normal, "Normal", "Приключение"
challenge, "Challenge", "Испытание"

inviteTitle, "Play Feed the Spider with me!", "Играй со мной в Feed the Spider!"
inviteMessage, "Feed the Spider is cool! Check it out!", "Это красочная и увлекательная головоломка!"

officialGroup, "Official group", "Официальная группа"
aboutGame, "About the game", "Об игре"
shareWithFriends, "Share with friends", "Поделиться с друзьями"
share, "Share", "Опубликовать"

rewardForLogin, "Reward for the login", "Награда за логин"
rewardForFriend, "for each invited friend", "за каждого друга"

dontOpenCard, "Cards from unopened boosters!", "Карты из неотрытых бустеров!"
boosterForLoginOK, "Booster for login in OK!", "Бустер за логин в Одноклассниках!"
